Visit_ID,Visit_Date,Beach,High_Temp_F,Water_Temp_F,UV_Index,Wave_Height_Ft,Hours_Spent,Group_Size,Total_Spent_USD,Crowd_Level,Activity,Satisfaction
53,2025-09-15,Mid-Beach,84.1,78.4,10.1,4.0,3.9,2,78.02,Low,Sunbathing,9.4
54,2025-09-15,Hollywood Beach,87.5,84.7,9.6,1.6,4.7,5,91.49,High,Sunbathing,8.0
55,2025-09-16,Mid-Beach,89.8,84.1,10.0,1.2,4.2,2,71.32,High,Sunbathing,5.4
56,2025-09-16,Fort Lauderdale Beach,82.5,77.2,8.4,4.4,3.9,6,94.86,Medium,Surfing,8.2
57,2025-09-16,Haulover,89.6,86.7,7.2,4.3,3.4,1,46.05,Low,Sunbathing,8.2
58,2025-09-16,South Beach,82.4,78.3,9.2,2.5,5.4,1,84.44,Medium,Volleyball,5.7
59,2025-09-18,Fort Lauderdale Beach,83.3,77.9,8.6,3.5,4.6,2,75.45,Medium,Reading,7.9
60,2025-09-19,Fort Lauderdale Beach,87.0,81.5,8.3,1.3,3.5,4,82.21,Low,Sunbathing,9.6
61,2025-09-19,South Beach,87.3,81.5,7.5,1.0,4.6,4,100.35,Medium,Volleyball,6.9
62,2025-09-20,Haulover,88.8,85.0,9.8,3.2,5.6,4,95.4,Low,Sunbathing,8.7
63,2025-09-26,Bal Harbour,86.4,83.0,10.5,2.9,4.4,2,89.21,Low,Surfing,10
64,2025-09-28,Bal Harbour,89.5,85.8,8.9,4.3,6.0,1,91.32,Medium,Surfing,8.3
65,2025-09-30,Sunny Isles,88.9,85.3,10.3,2.8,4.3,1,60.59,Low,Sunbathing,8.6
